iter	Passed	Remaining
341	3947	7595
342	3958	7582
343	3969	7569
344	3980	7557
345	3991	7545
346	4003	7533
347	4013	7519
348	4024	7507
349	4035	7495
350	4046	7482
351	4058	7471
352	4071	7461
353	4083	7451
354	4096	7442
355	4108	7432
356	4119	7420
357	4131	7409
358	4142	7396
359	4153	7383
360	4164	7370
361	4175	7359
362	4193	7359
363	4209	7355
364	4226	7352
365	4242	7348
366	4259	7346
367	4274	7340
368	4289	7335
369	4304	7329
370	4319	7323
371	4334	7316
372	4348	7309
373	4362	7301
374	4377	7296
375	4393	7290
376	4407	7283
377	4421	7275
378	4435	7266
379	4449	7259
380	4463	7251
381	4474	7239
382	4486	7227
383	4496	7213
384	4507	7200
385	4518	7186
386	4529	7174
387	4540	7161
388	4550	7148
389	4561	7134
390	4572	7121
391	4582	7108
392	4593	7094
393	4604	7081
394	4614	7068
395	4626	7057
396	4638	7045
397	4650	7033
398	4662	7022
399	4674	7011
400	4685	6999
401	4697	6988
402	4709	6976
403	4721	6964
404	4732	6952
405	4743	6940
406	4754	6927
407	4765	6914
408	4776	6902
409	4788	6891
410	4799	6878
411	4811	6866
412	4823	6856
413	4834	6843
414	4845	6830
415	4856	6817
416	4867	6804
417	4877	6791
418	4889	6780
419	4901	6768
420	4913	6758
421	4926	6747
422	4937	6735
423	4949	6723
424	4960	6710
425	4971	6698
426	4983	6686
427	4993	6673
428	5004	6660
429	5015	6648
430	5026	6636
431	5037	6623
432	5048	6610
433	5059	6597
434	5069	6585
435	5081	6573
436	5092	6560
437	5104	6549
438	5116	6538
439	5127	6526
440	5139	6514
441	5150	6501
442	5161	6489
443	5171	6476
444	5182	6463
445	5193	6451
446	5204	6438
447	5214	6425
448	5226	6413
449	5237	6400
450	5248	6388
451	5258	6375
452	5269	6363
453	5274	6343
454	5287	6333
455	5298	6321
456	5309	6308
457	5320	6296
458	5331	6284
459	5343	6272
460	5354	6260
461	5365	6248
462	5376	6236
463	5387	6224
464	5398	6211
465	5409	6198
466	5419	6185
467	5430	6173
468	5442	6161
469	5452	6149
470	5465	6138
471	5477	6127
472	5492	6120
473	5506	6110
474	5520	6101
475	5534	6092
476	5548	6083
477	5563	6075
478	5578	6067
479	5593	6059
480	5607	6050
481	5621	6041
482	5634	6031
483	5650	6023
484	5664	6014
485	5678	6005
486	5690	5993
487	5701	5981
488	5712	5969
489	5723	5957
490	5734	5944
491	5744	5931
492	5755	5918
493	5766	5906
494	5777	5893
495	5787	5880
496	5798	5868
497	5808	5855
498	5820	5843
499	5830	5830
500	5842	5819
501	5853	5806
502	5864	5794
503	5875	5781
504	5887	5771
505	5904	5764
506	5919	5756
507	5934	5747
508	5949	5739
509	5963	5729
510	5978	5721
511	5992	5712
512	6008	5704
513	6023	5695
514	6038	5686
515	6052	5677
516	6067	5668
517	6082	5659
518	6096	5650
519	6109	5639
520	6120	5626
521	6131	5615
522	6142	5602
523	6154	5590
524	6164	5577
525	6176	5565
526	6187	5553
527	6198	5541
528	6209	5528
529	6219	5515
530	6230	5503
531	6241	5490
532	6252	5478
533	6263	5466
534	6274	5453
535	6286	5442
536	6297	5429
537	6309	5418
538	6321	5406
539	6332	5394
540	6343	5382
541	6354	5369
542	6365	5357
543	6379	5347
544	6391	5336
545	6405	5326
546	6418	5315
547	6432	5305
548	6446	5295
549	6462	5287
550	6476	5277
551	6490	5267
552	6504	5258
553	6519	5248
554	6534	5239
555	6547	5228
556	6562	5219
557	6576	5209
558	6590	5199
559	6604	5189
560	6619	5179
561	6633	5170
562	6647	5159
563	6658	5147
564	6670	5135
565	6681	5123
566	6692	5110
567	6702	5097
568	6713	5085
569	6724	5073
570	6735	5060
571	6746	5047
572	6756	5035
573	6767	5022
574	6778	5010
575	6789	4998
576	6800	4985
577	6811	4973
578	6822	4960
579	6832	4947
580	6843	4935
581	6854	4923
582	6865	4910
583	6875	4897
584	6886	4885
585	6901	4875
586	6915	4865
587	6931	4856
588	6945	4846
589	6958	4835
590	6972	4825
591	6986	4814
592	7001	4805
593	7014	4794
594	7029	4784
595	7043	4774
596	7057	4764
597	7105	4776
598	7164	4795
599	7179	4786
600	7192	4775
601	7205	4763
602	7218	4752
603	7230	4740
604	7243	4729
605	7255	4717
606	7267	4705
607	7280	4694
608	7295	4684
609	7310	4673
610	7324	4663
611	7337	4651
612	7349	4639
613	7361	4628
614	7373	4615
615	7386	4604
616	7403	4595
617	7420	4586
618	7435	4576
619	7452	4567
620	7468	4557
621	7483	4547
622	7499	4538
623	7514	4527
624	7528	4516
625	7541	4505
626	7554	4494
627	7569	4484
628	7585	4474
629	7599	4463
630	7612	4451
631	7624	4439
632	7637	4428
633	7649	4416
634	7661	4403
635	7672	4391
636	7683	4378
637	7695	4366
638	7706	4353
639	7719	4342
640	7730	4329
641	7741	4316
642	7753	4304
643	7767	4293
644	7783	4283
645	7797	4273
646	7813	4262
647	7828	4252
648	7845	4243
649	7861	4233
650	7877	4223
651	7892	4212
652	7908	4202
653	7924	4192
654	7939	4182
655	7956	4172
656	7972	4162
657	7989	4152
658	8007	4143
659	8023	4133
660	8039	4123
661	8057	4114
662	8072	4103
663	8085	4091
664	8098	4079
665	8110	4067
666	8122	4055
667	8134	4042
668	8145	4030
669	8157	4017
670	8169	4005
671	8181	3993
672	8194	3981
673	8206	3969
674	8218	3956
675	8230	3944
676	8243	3933
677	8254	3920
678	8265	3907
679	8277	3895
680	8291	3883
681	8302	3871
682	8314	3858
683	8327	3847
684	8339	3835
685	8352	3822
686	8363	3810
687	8374	3797
688	8387	3785
689	8399	3773
690	8411	3761
691	8422	3748
692	8434	3736
693	8446	3724
694	8458	3711
695	8470	3699
696	8481	3687
697	8494	3675
698	8507	3663
699	8518	3650
700	8531	3638
701	8543	3626
702	8555	3614
703	8567	3602
704	8579	3590
705	8590	3577
706	8602	3565
707	8614	3552
708	8625	3540
709	8637	3527
710	8648	3515
711	8660	3502
712	8671	3490
713	8684	3478
714	8696	3466
715	8707	3453
716	8718	3441
717	8730	3428
718	8744	3417
719	8758	3406
720	8771	3394
721	8783	3382
722	8794	3369
723	8799	3354
724	8810	3342
725	8822	3329
726	8833	3317
727	8845	3304
728	8857	3292
729	8869	3280
730	8882	3268
731	8894	3256
732	8905	3243
733	8917	3231
734	8928	3219
735	8939	3206
736	8950	3194
737	8961	3181
738	8973	3169
739	8986	3157
740	8998	3145
741	9009	3132
742	9021	3120
743	9034	3108
744	9045	3096
745	9056	3083
746	9068	3071
747	9080	3059
748	9091	3046
749	9102	3034
750	9113	3021
751	9127	3010
752	9140	2998
753	9153	2986
754	9169	2975
755	9182	2963
756	9195	2951
757	9207	2939
758	9219	2927
759	9231	2915
760	9243	2902
761	9254	2890
762	9265	2878
763	9277	2865
764	9289	2853
765	9300	2841
766	9312	2829
767	9324	2816
768	9336	2804
769	9348	2792
770	9359	2780
771	9371	2767
772	9384	2755
773	9395	2743
774	9407	2731
775	9419	2719
776	9432	2707
777	9444	2694
778	9456	2682
779	9468	2670
780	9479	2658
781	9490	2645
782	9503	2633
783	9515	2621
784	9528	2609
785	9540	2597
786	9554	2585
787	9566	2573
788	9577	2561
789	9589	2549
790	9602	2537
791	9614	2524
792	9626	2512
793	9639	2500
794	9650	2488
795	9662	2476
796	9674	2464
797	9687	2452
798	9699	2439
799	9710	2427
800	9722	2415
801	9734	2403
802	9745	2390
803	9757	2378
804	9770	2366
805	9781	2354
806	9792	2342
807	9804	2329
808	9816	2317
809	9828	2305
810	9841	2293
811	9852	2281
812	9864	2269
813	9876	2256
814	9889	2244
815	9901	2232
816	9913	2220
817	9925	2208
818	9940	2196
819	9954	2185
820	9966	2173
821	9977	2160
822	9989	2148
823	10000	2136
824	10012	2123
825	10024	2111
826	10034	2099
827	10046	2087
828	10058	2074
829	10070	2062
830	10081	2050
831	10093	2038
832	10105	2025
833	10117	2013
834	10128	2001
835	10141	1989
836	10152	1977
837	10165	1965
838	10177	1953
839	10188	1940
840	10198	1928
841	10210	1915
842	10224	1904
843	10236	1891
844	10247	1879
845	10259	1867
846	10270	1855
847	10281	1842
848	10293	1830
849	10304	1818
850	10316	1806
851	10329	1794
852	10343	1782
853	10357	1770
854	10371	1758
855	10383	1746
856	10397	1734
857	10415	1723
858	10428	1711
859	10439	1699
860	10452	1687
861	10463	1675
862	10475	1662
863	10486	1650
864	10498	1638
865	10510	1626
866	10522	1614
867	10535	1602
868	10547	1590
869	10559	1577
870	10570	1565
871	10582	1553
872	10594	1541
873	10606	1529
874	10619	1517
875	10629	1504
876	10641	1492
877	10653	1480
878	10665	1468
879	10677	1456
880	10688	1443
881	10699	1431
882	10712	1419
883	10724	1407
884	10736	1395
885	10748	1382
886	10759	1370
887	10770	1358
888	10783	1346
889	10788	1333
890	10799	1321
891	10811	1309
892	10824	1296
893	10836	1284
894	10848	1272
895	10859	1260
896	10872	1248
897	10884	1236
898	10897	1224
899	10909	1212
900	10922	1200
901	10935	1188
902	10947	1176
903	10959	1163
904	10972	1151
905	10984	1139
906	10997	1127
907	11009	1115
908	11021	1103
909	11034	1091
910	11046	1079
911	11059	1067
912	11071	1055
913	11084	1042
914	11096	1030
915	11108	1018
916	11121	1006
917	11135	994
918	11150	982
919	11163	970
920	11176	958
921	11188	946
922	11200	934
923	11215	922
924	11228	910
925	11240	898
926	11252	886
927	11264	873
928	11277	861
929	11289	849
930	11302	837
931	11315	825
932	11327	813
933	11339	801
934	11351	789
935	11364	777
936	11377	764
937	11389	752
938	11401	740
939	11413	728
940	11425	716
941	11438	704
942	11450	692
943	11462	679
944	11474	667
945	11486	655
946	11499	643
947	11511	631
948	11522	619
949	11535	607
950	11548	595
951	11560	582
952	11572	570
953	11585	558
954	11598	546
955	11610	534
956	11622	522
957	11634	510
958	11646	497
959	11658	485
960	11671	473
961	11682	461
962	11694	449
963	11705	437
964	11717	425
965	11729	412
966	11741	400
967	11752	388
968	11765	376
969	11777	364
970	11789	352
971	11800	339
972	11813	327
973	11825	315
974	11836	303
975	11848	291
976	11860	279
977	11873	267
978	11887	254
979	11900	242
980	11913	230
981	11926	218
982	11938	206
983	11951	194
984	11964	182
985	11976	170
986	11989	157
987	12002	145
988	12015	133
989	12028	121
990	12041	109
991	12053	97
992	12066	85
993	12079	72
994	12090	60
995	12103	48
996	12116	36
997	12128	24
998	12141	12
999	12154	0
